departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
39,2 de Abril,22,Chaco,2018,4,Dengue,9,De 25 a 34 años,1.0
39,2 de Abril,22,Chaco,2018,12,Dengue,9,De 25 a 34 años,1.0
39,2 de Abril,22,Chaco,2018,14,Dengue,9,De 25 a 34 años,2.0
39,2 de Abril,22,Chaco,2018,14,Dengue,10,De 45 a 64 años,1.0
39,2 de Abril,22,Chaco,2018,15,Dengue,10,De 45 a 64 años,1.0
39,2 de Abril,22,Chaco,2018,16,Dengue,4,De 2 a 4 años,2.0
39,2 de Abril,22,Chaco,2018,16,Dengue,5,De 5 a 9 años,4.0
39,2 de Abril,22,Chaco,2018,16,Dengue,6,De 10 a 14 años,1.0
39,2 de Abril,22,Chaco,2018,16,Dengue,7,De 15 a 19 años,6.0
39,2 de Abril,22,Chaco,2018,16,Dengue,8,De 20 a 24 años,6.0
39,2 de Abril,22,Chaco,2018,16,Dengue,9,De 25 a 34 años,6.0
39,2 de Abril,22,Chaco,2018,16,Dengue,10,De 35 a 44 años,2.0
39,2 de Abril,22,Chaco,2018,16,Dengue,10,De 45 a 64 años,9.0
39,2 de Abril,22,Chaco,2018,16,Dengue,11,Mayor o igual de 65 años,5.0
39,2 de Abril,22,Chaco,2018,16,Dengue,12,Sin Especificar,1.0
39,2 de Abril,22,Chaco,2018,17,Dengue,5,De 5 a 9 años,1.0
39,2 de Abril,22,Chaco,2018,17,Dengue,6,De 10 a 14 años,2.0
39,2 de Abril,22,Chaco,2018,17,Dengue,7,De 15 a 19 años,5.0
39,2 de Abril,22,Chaco,2018,17,Dengue,8,De 20 a 24 años,5.0
39,2 de Abril,22,Chaco,2018,17,Dengue,9,De 25 a 34 años,6.0
39,2 de Abril,22,Chaco,2018,17,Dengue,10,De 35 a 44 años,1.0
39,2 de Abril,22,Chaco,2018,17,Dengue,10,De 45 a 64 años,8.0
39,2 de Abril,22,Chaco,2018,17,Dengue,11,Mayor o igual de 65 años,10.0
39,2 de Abril,22,Chaco,2018,17,Dengue,12,Sin Especificar,3.0
39,2 de Abril,22,Chaco,2018,18,Dengue,5,De 5 a 9 años,4.0
39,2 de Abril,22,Chaco,2018,18,Dengue,6,De 10 a 14 años,1.0
39,2 de Abril,22,Chaco,2018,18,Dengue,7,De 15 a 19 años,5.0
39,2 de Abril,22,Chaco,2018,18,Dengue,8,De 20 a 24 años,2.0
39,2 de Abril,22,Chaco,2018,18,Dengue,9,De 25 a 34 años,9.0
39,2 de Abril,22,Chaco,2018,18,Dengue,10,De 45 a 64 años,8.0
39,2 de Abril,22,Chaco,2018,18,Dengue,11,Mayor o igual de 65 años,7.0
39,2 de Abril,22,Chaco,2018,18,Dengue,12,Sin Especificar,4.0
39,2 de Abril,22,Chaco,2018,19,Dengue,3,De 13 a 24 meses,1.0
39,2 de Abril,22,Chaco,2018,19,Dengue,4,De 2 a 4 años,1.0
39,2 de Abril,22,Chaco,2018,19,Dengue,5,De 5 a 9 años,1.0
39,2 de Abril,22,Chaco,2018,19,Dengue,6,De 10 a 14 años,4.0
39,2 de Abril,22,Chaco,2018,19,Dengue,7,De 15 a 19 años,7.0
39,2 de Abril,22,Chaco,2018,19,Dengue,8,De 20 a 24 años,5.0
39,2 de Abril,22,Chaco,2018,19,Dengue,9,De 25 a 34 años,9.0
