,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0
2020-09-23 14:01:00,-1.5,-0.5,0.5,0.0,-0.5,-0.5,-1.0,0.0,1.0,0.5,-0.5,0.5
2020-09-23 14:02:00,-1.6666666666666667,-0.3333333333333333,1.0,0.3333333333333333,-0.6666666666666666,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,1.0,0.0,-0.3333333333333333,0.3333333333333333
2020-09-23 14:03:00,-1.75,-0.5,1.5,0.25,-0.75,-0.5,-0.5,0.5,1.25,0.0,-0.5,0.25
2020-09-23 14:04:00,-2.0,-0.4,2.0,0.4,-1.0,-0.4,-0.6,0.8,1.6,0.2,-0.6,0.4
2020-09-23 14:05:00,-2.0,-0.5,2.5,0.3333333333333333,-1.3333333333333333,-0.3333333333333333,-0.6666666666666666,1.1666666666666667,1.6666666666666667,0.5,-0.8333333333333334,0.5
2020-09-23 14:06:00,-1.8571428571428572,-0.7142857142857143,2.7142857142857144,0.14285714285714285,-1.4285714285714286,-0.2857142857142857,-0.5714285714285714,1.2857142857142858,1.8571428571428572,0.5714285714285714,-1.0,0.42857142857142855
2020-09-23 14:07:00,-1.75,-1.0,3.0,-0.125,-1.375,-0.375,-0.625,1.5,2.0,0.625,-1.0,0.375
2020-09-23 14:08:00,-1.7777777777777777,-1.3333333333333333,3.2222222222222223,-0.2222222222222222,-1.2222222222222223,-0.5555555555555556,-0.7777777777777778,1.7777777777777777,2.111111111111111,0.5555555555555556,-0.8888888888888888,0.3333333333333333
2020-09-23 14:09:00,-1.9,-1.7,3.4,-0.4,-1.2,-0.8,-0.9,1.9,2.2,0.5,-0.7,0.2
2020-09-23 14:10:00,-1.9090909090909092,-2.0,3.6363636363636362,-0.45454545454545453,-1.1818181818181819,-1.0,-0.9090909090909091,2.0,2.3636363636363638,0.5454545454545454,-0.5454545454545454,0.09090909090909091
2020-09-23 14:11:00,-1.8333333333333333,-2.3333333333333335,3.75,-0.5,-1.25,-1.0833333333333333,-1.0,2.1666666666666665,2.5,0.6666666666666666,-0.4166666666666667,0.0
2020-09-23 14:12:00,-1.7692307692307692,-2.5384615384615383,3.769230769230769,-0.46153846153846156,-1.2307692307692308,-1.2307692307692308,-1.1538461538461537,2.3846153846153846,2.6923076923076925,0.6923076923076923,-0.3076923076923077,-0.07692307692307693
2020-09-23 14:13:00,-1.7857142857142858,-2.7857142857142856,3.7857142857142856,-0.42857142857142855,-1.2142857142857142,-1.4285714285714286,-1.3571428571428572,2.642857142857143,2.7857142857142856,0.7857142857142857,-0.14285714285714285,-0.14285714285714285
2020-09-23 14:14:00,-1.8666666666666667,-3.0,3.7333333333333334,-0.3333333333333333,-1.2666666666666666,-1.6,-1.5333333333333334,2.8666666666666667,2.933333333333333,0.9333333333333333,0.06666666666666667,-0.13333333333333333
2020-09-23 14:15:00,-1.875,-3.1875,3.6875,-0.3125,-1.25,-1.6875,-1.6875,3.0625,3.125,1.0625,0.25,-0.0625
2020-09-23 14:16:00,-1.8823529411764706,-3.2941176470588234,3.6470588235294117,-0.35294117647058826,-1.2941176470588236,-1.8235294117647058,-1.8235294117647058,3.2941176470588234,3.235294117647059,1.1764705882352942,0.4117647058823529,0.058823529411764705
2020-09-23 14:17:00,-1.8333333333333333,-3.4444444444444446,3.611111111111111,-0.3888888888888889,-1.3888888888888888,-2.0,-2.0,3.5555555555555554,3.2777777777777777,1.2222222222222223,0.6111111111111112,0.1111111111111111
2020-09-23 14:18:00,-1.8421052631578947,-3.5789473684210527,3.5789473684210527,-0.47368421052631576,-1.4210526315789473,-2.1578947368421053,-2.210526315789474,3.8421052631578947,3.3684210526315788,1.263157894736842,0.7368421052631579,0.15789473684210525
2020-09-23 14:19:00,-1.8,-3.75,3.5,-0.6,-1.45,-2.3,-2.4,4.05,3.45,1.3,0.9,0.2
